AST_E3	AST_E3	AST_E3	AST_E4	AST_E4	AST_E4
DDX11L1	0	0	0	0	0	0
WASH7P	0	0	0	0	1	0
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	10	6	5	1	7	2
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	3	4	2	0	7	0
OR4F29	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
LOC100288069	1	9	4	0	3	5
LINC00115	0	0	2	0	1	0
LOC643837	68	64	77	28	100	88
FAM41C	0	0	0	0	0	0
LOC100130417	0	2	1	0	7	1
SAMD11	32	50	68	11	49	36
NOC2L	694	678	638	103	746	613
KLHL17	61	59	43	2	51	35
PLEKHN1	13	36	9	2	12	13
C1orf170	0	0	0	3	0	0
HES4	24	29	19	3	19	12
ISG15	143	89	61	8	57	52
AGRN	2740	3584	1830	174	1861	1426
RNF223	0	0	0	0	0	0
C1orf159	54	41	53	3	33	28
LOC254099	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0
TNFRSF18	14	18	2	1	8	9
TNFRSF4	2	0	1	0	0	1
SDF4	2429	2124	1955	427	2077	1791
B3GALT6	391	348	356	97	337	311
FAM132A	15	9	5	1	2	2
UBE2J2	315	309	309	94	338	291
SCNN1D	10	2	0	1	2	1
ACAP3	313	272	196	23	255	176
PUSL1	82	66	73	5	63	46
CPSF3L	502	559	492	100	613	546
GLTPD1	240	187	166	20	274	170
TAS1R3	0	0	3	0	8	4
DVL1	481	473	478	77	595	489
MXRA8	2169	2261	1116	169	2031	1720
AURKAIP1	355	269	244	34	260	181
CCNL2	164	227	223	62	211	222
LOC148413	62	62	43	26	59	62
MRPL20	467	448	453	172	513	527
ANKRD65	0	0	1	0	0	0
TMEM88B	0	0	0	0	0	0
VWA1	273	429	216	23	291	426
ATAD3C	0	0	0	0	1	4
ATAD3B	51	41	54	4	40	36
ATAD3A	230	197	201	23	177	125
TMEM240	29	7	9	0	10	11
SSU72	878	826	901	381	1067	1076
C1orf233	106	61	70	12	75	42
MIB2	219	157	135	23	165	134
MMP23B	0	0	1	0	1	0
MMP23A	0	0	0	0	0	0
CDK11B	121	131	110	29	116	150
SLC35E2B	221	303	203	49	292	256
CDK11A	22	40	39	16	34	28
SLC35E2	154	211	128	42	189	159
NADK	360	430	361	82	413	358
GNB1	4470	5091	4538	1803	6142	5414
CALML6	0	0	0	0	0	0
TMEM52	2	5	2	1	3	1
KIAA1751	0	0	0	0	0	0
GABRD	0	0	1	0	0	0
PRKCZ	121	219	103	46	162	207
C1orf86	408	313	265	40	280	208
SKI	2038	2379	1978	685	2728	2312
MORN1	13	9	13	1	9	10
LOC100129534	7	6	6	0	11	2
RER1	986	933	988	347	1276	1121
PEX10	167	161	158	34	134	127
PLCH2	5	12	3	3	19	2
PANK4	245	247	239	83	261	216
HES5	0	0	1	0	1	0
LOC115110	0	0	0	0	0	0
LOC100133445	0	0	0	0	0	0
TNFRSF14	7	15	9	1	14	7
FAM213B	290	311	245	44	333	196
MMEL1	2	0	0	2	1	0
TTC34	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
FLJ42875	2	8	1	0	6	3
PRDM16	46	108	35	21	93	67
MIR4251	0	0	0	0	0	0
ARHGEF16	4	9	6	2	3	4
MEGF6	67	167	49	37	75	51
MIR551A	0	0	0	0	0	0
TPRG1L	507	440	477	162	628	546
WRAP73	100	101	95	27	105	90
TP73	0	0	1	3	0	1
TP73-AS1	105	166	123	33	124	135
CCDC27	0	0	0	0	0	0
SMIM1	9	10	5	0	5	4
LRRC47	537	534	509	125	529	463
CEP104	274	387	345	176	400	398
DFFB	37	40	27	6	29	44
C1orf174	129	113	148	87	147	167
LOC100133612	0	1	0	0	1	0
LOC728716	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0
AJAP1	0	0	0	0	2	0
MIR4417	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	73	72	91	15	83	78
KCNAB2	49	42	41	11	62	32
CHD5	2	0	1	0	3	1
RPL22	514	523	469	260	561	658
RNF207	23	24	19	4	24	15
ICMT	1160	1230	1529	483	1571	1398
HES3	0	0	0	0	0	0
GPR153	142	69	191	14	113	92
ACOT7	740	719	764	155	883	618
HES2	2	1	1	0	5	1
ESPN	0	0	0	0	1	2
MIR4252	0	0	0	0	0	0
TNFRSF25	24	20	14	5	34	14
PLEKHG5	253	191	193	41	234	156
NOL9	426	516	496	221	664	660
TAS1R1	0	0	0	0	0	0
ZBTB48	72	60	52	12	58	57
KLHL21	338	358	341	59	303	246
PHF13	226	244	232	67	299	248
THAP3	96	77	83	20	90	91
DNAJC11	566	597	562	180	734	639
CAMTA1	155	218	197	105	224	191
VAMP3	1248	1545	1244	618	1846	1827
PER3	51	56	25	25	101	71
UTS2	0	0	0	0	0	0
TNFRSF9	9	16	5	9	16	27
PARK7	1425	1324	1463	729	1507	1731
ERRFI1	2763	4631	2424	1032	2216	2810
SLC45A1	34	31	30	1	29	30
RERE	942	1227	995	305	1374	1223
ENO1	9404	10424	10160	3031	12866	13464
ENO1-AS1	0	0	0	0	0	0
CA6	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	0	2	1	0	2	4
GPR157	3	5	2	0	6	3
MIR34A	1	0	0	0	0	0
H6PD	1139	1308	1137	173	1270	1298
SPSB1	307	230	319	64	227	171
SLC25A33	24	33	28	12	18	30
TMEM201	190	229	170	24	181	146
PIK3CD	84	105	66	26	85	53
C1orf200	0	0	0	0	0	0
CLSTN1	3157	3353	2979	725	3792	3304
CTNNBIP1	376	390	284	61	280	232
LZIC	181	210	210	141	209	276
NMNAT1	132	112	128	69	162	161
RBP7	3	5	1	2	3	11
