MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
DDX11L1	0	0	0	0	0	0	0	0
WASH7P	14	20	12	20	12	10	23	33
FAM138A	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0
LOC729737	57	21	34	63	20	36	150	148
LOC100132287	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0
LOC100133331	10	19	18	17	19	13	28	22
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0
LOC100288069	18	14	16	24	3	13	31	21
LINC00115	5	2	12	16	1	3	10	3
LOC643837	239	241	254	238	193	222	240	255
FAM41C	0	0	0	0	0	1	0	0
LOC100130417	0	8	6	1	4	2	0	0
SAMD11	20	133	107	25	39	10	2	0
NOC2L	1571	1573	1640	1525	1402	1105	1289	1362
KLHL17	141	105	119	155	90	63	134	135
PLEKHN1	2	2	0	1	4	0	2	0
C1orf170	0	0	0	0	0	0	0	0
HES4	54	57	64	22	73	14	4	13
ISG15	514	402	431	404	973	557	260	633
AGRN	4311	4902	4476	3628	2585	1715	1452	1879
RNF223	0	0	0	0	0	0	0	0
C1orf159	129	146	119	113	132	86	101	87
LOC254099	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0
TTLL10	0	0	2	1	0	0	0	0
TNFRSF18	23	17	8	4	21	21	15	8
TNFRSF4	269	128	128	150	393	181	190	104
SDF4	6355	6235	5764	5762	6531	4906	5079	5165
B3GALT6	1297	1388	1213	912	1328	867	909	866
FAM132A	1	4	5	1	4	0	3	5
UBE2J2	1089	1091	1024	1038	1237	811	892	881
SCNN1D	3	26	15	13	24	9	8	9
ACAP3	722	822	667	567	639	388	474	462
PUSL1	271	281	243	186	369	177	166	177
CPSF3L	1327	1371	1181	1380	1319	1048	1168	1224
GLTPD1	659	660	559	502	632	466	542	544
TAS1R3	3	8	6	6	6	0	0	7
DVL1	537	619	524	483	469	323	445	404
MXRA8	2170	6895	5105	2780	1750	496	101	6
AURKAIP1	792	785	761	678	1265	555	645	604
CCNL2	806	740	694	873	540	523	877	672
LOC148413	277	287	273	227	204	210	221	229
MRPL20	1412	1310	1373	1337	1924	1239	1187	1323
ANKRD65	0	0	1	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0
VWA1	363	843	591	232	196	70	44	91
ATAD3C	1	0	0	0	0	0	1	4
ATAD3B	149	109	127	143	144	54	113	69
ATAD3A	430	476	428	364	409	233	229	217
TMEM240	13	33	18	4	21	2	1	0
SSU72	2794	2894	3131	3092	3007	2678	2758	3260
C1orf233	946	1056	824	601	933	572	816	658
MIB2	500	501	514	393	599	254	355	412
MMP23B	40	145	71	61	44	4	1	0
MMP23A	0	3	3	5	2	3	2	2
CDK11B	426	341	354	375	301	242	350	338
SLC35E2B	987	1219	1162	955	445	765	831	905
CDK11A	143	102	105	142	71	91	135	128
SLC35E2	559	804	786	632	328	472	520	572
NADK	7895	3716	3930	5754	4557	5721	6574	7781
GNB1	19478	13886	15701	16361	12363	16727	17181	18528
CALML6	0	2	0	0	0	1	0	0
TMEM52	8	8	5	6	14	3	6	4
KIAA1751	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0
PRKCZ	24	140	166	91	39	14	3	6
C1orf86	809	957	789	702	1229	583	745	679
SKI	2372	3465	3364	2533	1283	1616	1653	2227
MORN1	116	122	127	65	28	44	57	98
LOC100129534	74	62	67	38	17	18	37	46
RER1	3406	2942	2838	3000	3577	2608	2619	2767
PEX10	485	515	556	484	433	423	458	506
PLCH2	3	15	13	22	2	5	2	0
PANK4	623	555	536	581	525	545	623	658
HES5	5	0	2	0	1	0	0	0
LOC115110	29	13	14	35	27	14	30	59
LOC100133445	16	6	6	12	6	14	13	19
TNFRSF14	3473	1875	2078	2711	4332	3543	4446	4838
FAM213B	1561	1308	1365	1481	1304	1590	2326	1903
MMEL1	4	6	3	11	2	3	3	2
TTC34	0	0	0	0	2	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
FLJ42875	2	15	6	2	1	2	0	0
PRDM16	26	129	96	13	15	14	0	8
MIR4251	0	0	0	0	0	0	0	0
ARHGEF16	36	22	24	23	45	9	58	54
MEGF6	209	71	94	53	64	40	87	53
MIR551A	0	0	0	0	0	0	0	0
TPRG1L	3084	2205	2162	2351	2689	3093	3127	3333
WRAP73	434	265	272	412	335	276	375	430
TP73	24	10	9	8	7	2	4	0
TP73-AS1	504	710	679	541	369	362	474	509
CCDC27	0	0	0	0	0	0	0	0
SMIM1	25	34	36	33	20	7	15	5
LRRC47	1398	1422	1442	1205	1431	1150	1345	1292
CEP104	1156	842	982	1176	533	1102	1196	1412
DFFB	132	84	138	133	71	150	181	133
C1orf174	936	729	747	902	801	749	721	674
LOC100133612	12	10	3	17	8	8	15	12
LOC728716	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0
AJAP1	8	0	41	8	12	11	9	15
MIR4417	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0
NPHP4	316	379	297	300	223	209	361	340
KCNAB2	4183	2530	3275	3518	3410	5422	5865	6946
CHD5	0	7	19	1	2	0	1	0
RPL22	3095	4141	4217	4227	4337	3689	4448	3964
RNF207	31	55	23	42	19	9	8	12
ICMT	3941	3210	3185	3430	2173	2221	2508	2422
HES3	0	0	0	0	0	0	0	0
GPR153	208	466	491	325	154	31	35	27
ACOT7	780	512	702	665	651	281	351	209
HES2	0	0	1	1	0	0	0	0
ESPN	4	3	5	0	1	0	0	0
MIR4252	0	0	0	0	0	0	0	0
