NEU_E3	NEU_E3	NEU_E3	NEU_E4	NEU_E4	NEU_E4
DDX11L1	0	0	0	0	0	0
WASH7P	0	0	0	0	1	2
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	1	0
LOC729737	10	10	7	14	3	6
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	7	9	4	8	4	7
OR4F29	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
LOC100288069	18	6	3	14	7	3
LINC00115	2	1	1	2	2	1
LOC643837	336	485	488	619	610	524
FAM41C	0	0	0	0	1	0
LOC100130417	50	30	20	35	29	30
SAMD11	757	252	227	319	226	207
NOC2L	673	807	784	752	754	693
KLHL17	113	118	96	97	88	70
PLEKHN1	3	0	0	0	0	0
C1orf170	0	0	0	0	1	0
HES4	241	186	107	166	138	89
ISG15	9	11	4	5	7	4
AGRN	2434	2199	1670	2731	2329	2331
RNF223	0	0	0	0	0	0
C1orf159	103	83	78	89	97	73
LOC254099	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
TTLL10	0	1	0	0	2	1
TNFRSF18	0	0	1	0	0	0
TNFRSF4	0	0	0	0	0	0
SDF4	822	612	673	639	687	563
B3GALT6	433	414	508	463	546	504
FAM132A	3	4	3	2	3	2
UBE2J2	439	484	486	452	444	486
SCNN1D	59	37	12	41	11	11
ACAP3	1068	1213	723	1217	765	922
PUSL1	115	83	85	106	95	77
CPSF3L	438	572	489	551	480	537
GLTPD1	279	232	260	239	280	280
TAS1R3	2	4	0	9	4	5
DVL1	848	427	377	514	430	439
MXRA8	72	36	17	26	19	7
AURKAIP1	386	280	278	294	295	279
CCNL2	404	562	307	458	263	335
LOC148413	134	153	148	134	135	144
MRPL20	396	402	517	326	506	429
ANKRD65	4	7	9	10	8	7
TMEM88B	0	0	1	0	1	0
VWA1	367	232	169	190	210	189
ATAD3C	1	1	1	2	1	3
ATAD3B	40	45	12	24	15	14
ATAD3A	139	110	109	98	85	75
TMEM240	66	75	56	75	82	69
SSU72	973	1162	1224	1055	1183	1051
C1orf233	755	386	446	385	512	401
MIB2	587	543	457	538	443	461
MMP23B	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0
CDK11B	102	126	116	107	130	156
SLC35E2B	563	665	584	749	673	670
CDK11A	18	33	13	25	28	19
SLC35E2	432	543	526	618	566	610
NADK	236	299	250	253	289	361
GNB1	10304	11592	13058	12997	14717	14277
CALML6	0	1	0	0	0	0
TMEM52	100	69	57	71	88	66
KIAA1751	0	9	1	2	2	2
GABRD	21	30	33	37	31	51
PRKCZ	910	1045	1195	1062	1433	1215
C1orf86	375	354	314	339	318	319
SKI	840	1098	1087	1139	1272	1485
MORN1	24	30	18	41	19	38
LOC100129534	15	23	33	23	16	26
RER1	787	794	813	748	855	776
PEX10	185	142	152	166	127	149
PLCH2	314	283	227	360	292	202
PANK4	324	313	368	374	412	334
HES5	2	18	1	2	4	4
LOC115110	0	0	0	1	0	0
LOC100133445	0	0	0	0	0	0
TNFRSF14	3	4	2	0	0	0
FAM213B	762	693	873	825	915	741
MMEL1	33	41	19	43	41	43
TTC34	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
FLJ42875	0	1	0	0	0	0
PRDM16	2	14	6	4	1	3
MIR4251	0	0	0	0	0	0
ARHGEF16	33	34	29	38	18	25
MEGF6	111	101	23	120	28	24
MIR551A	0	0	0	0	0	0
TPRG1L	614	595	776	603	773	645
WRAP73	96	101	71	93	82	66
TP73	2	5	0	4	3	2
TP73-AS1	328	305	329	358	324	355
CCDC27	0	1	1	0	0	0
SMIM1	1	1	0	3	0	0
LRRC47	1010	909	1076	903	966	1016
CEP104	500	420	431	457	501	476
DFFB	39	45	40	39	42	48
C1orf174	117	161	142	151	159	152
LOC100133612	0	0	0	0	0	0
LOC728716	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0
AJAP1	106	52	79	98	66	24
MIR4417	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	111	105	108	101	105	100
KCNAB2	726	364	479	582	563	487
CHD5	1856	1347	1489	2011	1859	1383
RPL22	594	915	956	835	1018	1063
RNF207	29	34	19	41	16	22
ICMT	876	762	864	819	971	893
HES3	1	2	1	1	1	0
GPR153	1477	1221	1519	1570	1723	1295
ACOT7	3083	3027	4187	3109	3809	3725
HES2	0	1	1	2	0	0
ESPN	7	6	1	5	4	4
MIR4252	0	0	0	0	0	0
TNFRSF25	39	58	21	72	38	32
PLEKHG5	346	278	255	362	302	270
NOL9	340	427	468	398	460	460
TAS1R1	2	0	0	0	0	1
ZBTB48	99	97	117	89	103	114
KLHL21	155	189	188	176	195	216
PHF13	257	319	339	353	422	430
THAP3	136	138	134	123	125	132
DNAJC11	540	560	704	577	685	662
CAMTA1	2684	2170	2556	3124	3148	2306
VAMP3	99	154	97	106	125	96
PER3	129	97	57	141	73	82
UTS2	478	3	2	3	7	1
TNFRSF9	146	11	15	13	6	16
PARK7	1469	1524	1765	1385	1798	1647
ERRFI1	422	393	379	457	438	397
SLC45A1	568	343	442	375	437	377
RERE	1472	2232	2223	2611	2260	2602
ENO1	10295	6121	4385	5809	6838	5194
ENO1-AS1	0	0	0	1	1	2
CA6	0	0	0	1	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	1	0	0	0	0	1
GPR157	5	4	4	12	4	2
MIR34A	0	0	0	0	0	0
H6PD	148	247	149	198	156	199
SPSB1	107	140	119	118	105	147
SLC25A33	119	92	117	84	116	109
TMEM201	493	477	595	562	566	493
PIK3CD	249	219	238	285	308	456
C1orf200	1	0	0	0	0	1
CLSTN1	6567	6169	7553	7927	9631	7357
CTNNBIP1	1316	947	1061	1150	1177	1105
LZIC	225	315	228	292	288	280
NMNAT1	78	82	77	85	100	86
RBP7	0	2	0	0	3	0
UBE4B	945	1223	1423	1465	1674	1598
KIF1B	7088	7188	7452	10903	9237	9287
PGD	1031	1934	2023	1879	2169	2116
APITD1-CORT	0	0	0	0	0	0
APITD1	9	13	9	9	12	5
CORT	2	2	2	1	2	6
DFFA	383	333	308	403	345	321
PEX14	302	270	271	273	274	289
CASZ1	375	175	208	329	278	328
C1orf127	1	1	2	2	0	0
TARDBP	752	1172	1037	1165	1079	966
MASP2	0	2	1	0	0	0
SRM	846	798	951	738	848	935
EXOSC10	433	638	478	561	605	620
MTOR	687	846	785	995	979	837
MTOR-AS1	0	1	0	0	0	0
ANGPTL7	0	2	1	0	1	1
UBIAD1	145	184	192	177	184	256
PTCHD2	107	177	108	142	166	311
FBXO2	609	223	245	293	366	415
FBXO44	923	645	712	735	834	740
FBXO6	44	17	16	24	28	12
MAD2L2	338	407	377	401	351	468
DRAXIN	160	405	183	401	303	657
AGTRAP	10	24	6	14	2	20
MTHFR	524	603	564	600	528	518
CLCN6	570	538	584	720	679	721
NPPA-AS1	1	1	0	0	0	0
NPPA	0	2	0	0	0	0
NPPB	11	47	21	14	18	9
KIAA2013	260	289	270	245	290	247
PLOD1	1202	769	462	698	671	607
MFN2	1524	1408	1362	1512	1593	1608
MIIP	156	183	143	159	106	134
TNFRSF8	2	2	3	1	0	1
TNFRSF1B	1	6	1	1	0	5
MIR4632	0	0	0	0	0	0
VPS13D	649	481	571	788	662	526
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	131	129	87	129	72	60
AADACL4	0	0	0	0	0	0
AADACL3	2	0	0	0	1	0
C1orf158	1	0	5	1	0	0
PRAMEF12	0	1	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
LOC440563	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
LRRC38	1	0	0	1	0	0
PDPN	0	26	0	4	7	1
PRDM2	829	1168	1019	1440	1211	1294
KAZN	894	741	957	972	1002	806
TMEM51-AS1	61	31	33	67	26	48
TMEM51	98	70	79	56	68	110
FHAD1	16	15	16	30	17	13
EFHD2	240	251	236	253	285	140
CTRC	0	0	0	0	1	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	155	152	136	136	120	103
DNAJC16	403	356	300	394	424	428
AGMAT	12	12	12	22	15	11
DDI2	42	40	23	68	35	48
RSC1A1	25	32	28	46	30	37
PLEKHM2	867	803	820	778	908	887
SLC25A34	26	21	11	22	8	11
TMEM82	0	0	0	0	0	0
FBLIM1	210	243	235	224	265	316
UQCRHL	6	6	10	5	6	1
FLJ37453	83	110	157	100	76	83
SPEN	827	1198	1157	1659	1331	1257
ZBTB17	233	316	238	236	263	299
C1orf64	0	0	0	0	0	1
HSPB7	9	8	5	7	8	13
CLCNKA	1	1	2	1	3	2
CLCNKB	0	0	0	2	2	0
FAM131C	204	122	134	150	176	142
EPHA2	23	42	6	11	11	10
ARHGEF19	15	18	10	15	13	23
RSG1	101	41	69	65	66	63
FBXO42	454	441	457	473	481	452
SZRD1	343	493	397	422	406	487
SPATA21	0	1	0	0	0	0
NECAP2	24	62	31	34	35	37
CROCCP3	49	73	56	71	54	59
MIR3675	0	0	0	0	0	0
NBPF1	266	253	243	294	271	297
CROCCP2	170	193	180	148	166	131
MST1P2	1	3	1	2	1	1
ESPNP	0	1	0	0	0	0
MST1L	1	2	1	2	1	3
CROCC	137	190	138	178	139	145
MFAP2	2	59	24	23	29	56
ATP13A2	4617	2804	3373	3631	3850	3144
SDHB	491	418	417	350	427	420
PADI2	69	82	65	81	74	86
PADI1	2	5	6	3	3	1
PADI3	0	1	0	0	0	0
PADI4	0	3	0	0	0	0
