tissueSampleDescriptions	regionDescriptions	groupID	subjectID
GSM119615	EC	control	control_1
GSM119616	EC	control	control_2
GSM119617	EC	control	control_3
GSM119618	EC	control	control_4
GSM119619	EC	control	control_5
GSM119620	EC	control	control_6
GSM119621	EC	control	control_7
GSM119622	EC	control	control_8
GSM119623	EC	control	control_9
GSM119624	EC	control	control_10
GSM119625	EC	control	control_11
GSM119626	EC	control	control_12
GSM119627	EC	control	control_13
GSM119628	HIP	control	control_1
GSM119629	HIP	control	control_2
GSM119630	HIP	control	control_3
GSM119631	HIP	control	control_4
GSM119632	HIP	control	control_5
GSM119633	HIP	control	control_6
GSM119634	HIP	control	control_7
GSM119635	HIP	control	control_8
GSM119636	HIP	control	control_9
GSM119637	HIP	control	control_10
GSM119638	HIP	control	control_11
GSM119639	HIP	control	control_12
GSM119640	HIP	control	control_13
GSM119641	MTG	control	control_1
GSM119642	MTG	control	control_2
GSM119643	MTG	control	control_3
GSM119644	MTG	control	control_4
GSM119645	MTG	control	control_5
GSM119646	MTG	control	control_6
GSM119647	MTG	control	control_7
GSM119648	MTG	control	control_8
GSM119649	MTG	control	control_9
GSM119650	MTG	control	control_10
GSM119651	MTG	control	control_11
GSM119652	MTG	control	control_12
GSM119653	PC	control	control_1
GSM119654	PC	control	control_2
GSM119655	PC	control	control_3
GSM119656	PC	control	control_4
GSM119657	PC	control	control_5
GSM119658	PC	control	control_6
GSM119659	PC	control	control_7
GSM119660	PC	control	control_8
GSM119661	PC	control	control_9
GSM119662	PC	control	control_10
GSM119663	PC	control	control_11
GSM119664	PC	control	control_12
GSM119665	PC	control	control_13
GSM119666	SFG	control	control_1
GSM119667	SFG	control	control_2
GSM119668	SFG	control	control_3
GSM119669	SFG	control	control_4
GSM119670	SFG	control	control_5
GSM119671	SFG	control	control_6
GSM119672	SFG	control	control_7
GSM119673	SFG	control	control_8
GSM119674	SFG	control	control_9
GSM119675	SFG	control	control_10
GSM119676	SFG	control	control_11
GSM119677	VCX	control	control_1
GSM119678	VCX	control	control_2
GSM119679	VCX	control	control_3
GSM119680	VCX	control	control_4
GSM119681	VCX	control	control_5
GSM119682	VCX	control	control_6
GSM119683	VCX	control	control_7
GSM119684	VCX	control	control_8
GSM119685	VCX	control	control_9
GSM119686	VCX	control	control_10
GSM119687	VCX	control	control_11
GSM119688	VCX	control	control_12
GSM238763	EC	affected	affected_1
GSM238790	EC	affected	affected_2
GSM238791	EC	affected	affected_3
GSM238792	EC	affected	affected_4
GSM238793	EC	affected	affected_5
GSM238794	EC	affected	affected_6
GSM238795	EC	affected	affected_7
GSM238796	EC	affected	affected_8
GSM238797	EC	affected	affected_9
GSM238798	EC	affected	affected_10
GSM238799	HIP	affected	affected_1
GSM238800	HIP	affected	affected_2
GSM238801	HIP	affected	affected_3
GSM238802	HIP	affected	affected_4
GSM238803	HIP	affected	affected_5
GSM238804	HIP	affected	affected_6
GSM238805	HIP	affected	affected_7
GSM238806	HIP	affected	affected_8
GSM238807	HIP	affected	affected_9
GSM238808	HIP	affected	affected_10
GSM238809	MTG	affected	affected_1
GSM238810	MTG	affected	affected_2
GSM238811	MTG	affected	affected_3
GSM238812	MTG	affected	affected_4
GSM238813	MTG	affected	affected_5
GSM238815	MTG	affected	affected_6
GSM238816	MTG	affected	affected_7
GSM238817	MTG	affected	affected_8
GSM238818	MTG	affected	affected_9
GSM238819	MTG	affected	affected_10
GSM238820	MTG	affected	affected_11
GSM238821	MTG	affected	affected_12
GSM238822	MTG	affected	affected_13
GSM238823	MTG	affected	affected_14
GSM238824	MTG	affected	affected_15
GSM238825	MTG	affected	affected_16
GSM238826	PC	affected	affected_1
GSM238827	PC	affected	affected_2
GSM238834	PC	affected	affected_3
GSM238835	PC	affected	affected_4
GSM238837	PC	affected	affected_5
GSM238838	PC	affected	affected_6
GSM238839	PC	affected	affected_7
GSM238840	PC	affected	affected_8
GSM238841	PC	affected	affected_9
GSM238842	SFG	affected	affected_1
GSM238843	SFG	affected	affected_2
GSM238844	SFG	affected	affected_3
GSM238845	SFG	affected	affected_4
GSM238846	SFG	affected	affected_5
GSM238847	SFG	affected	affected_6
GSM238848	SFG	affected	affected_7
GSM238851	SFG	affected	affected_8
GSM238854	SFG	affected	affected_9
GSM238855	SFG	affected	affected_10
GSM238856	SFG	affected	affected_11
GSM238857	SFG	affected	affected_12
GSM238858	SFG	affected	affected_13
GSM238860	SFG	affected	affected_14
GSM238861	SFG	affected	affected_15
GSM238862	SFG	affected	affected_16
GSM238863	SFG	affected	affected_17
GSM238864	SFG	affected	affected_18
GSM238865	SFG	affected	affected_19
GSM238867	SFG	affected	affected_20
GSM238868	SFG	affected	affected_21
GSM238870	SFG	affected	affected_22
GSM238871	SFG	affected	affected_23
GSM238872	VCX	affected	affected_1
GSM238873	VCX	affected	affected_2
GSM238874	VCX	affected	affected_3
GSM238875	VCX	affected	affected_4
GSM238877	VCX	affected	affected_5
GSM238941	VCX	affected	affected_6
GSM238942	VCX	affected	affected_7
GSM238943	VCX	affected	affected_8
GSM238944	VCX	affected	affected_9
GSM238945	VCX	affected	affected_10
GSM238946	VCX	affected	affected_11
GSM238947	VCX	affected	affected_12
GSM238948	VCX	affected	affected_13
GSM238949	VCX	affected	affected_14
GSM238951	VCX	affected	affected_15
GSM238952	VCX	affected	affected_16
GSM238953	VCX	affected	affected_17
GSM238955	VCX	affected	affected_18
GSM238963	VCX	affected	affected_19
