ensg1	ensg2	score	interaction_type	data_source
ENSG00000136717	ENSG00000186868	0.56	PPI	ADIA
ENSG00000119917	ENSG00000119917	0.68	PPI	ADIA
ENSG00000078596	ENSG00000142192	0.52	PPI	ADIA
ENSG00000104765	ENSG00000159363	0.51	PPI	ADIA
ENSG00000130203	ENSG00000133069	0.59	PPI	ADIA
ENSG00000142192	ENSG00000146072	0.61	PPI	ADIA
ENSG00000137312	ENSG00000142192	0.58	PPI	ADIA
ENSG00000159363	ENSG00000174851	0.51	PPI	ADIA
ENSG00000145335	ENSG00000198938	0.51	PPI	ADIA
ENSG00000105329	ENSG00000142192	0.64	PPI	ADIA
ENSG00000118137	ENSG00000142192	0.63	PPI	ADIA
ENSG00000130203	ENSG00000150593	0.48	PPI	ADIA
ENSG00000100380	ENSG00000130203	0.48	PPI	ADIA
ENSG00000130159	ENSG00000130203	0.52	PPI	ADIA
ENSG00000105401	ENSG00000130203	0.48	PPI	ADIA
ENSG00000087086	ENSG00000205155	0.51	PPI	ADIA
ENSG00000142192	ENSG00000171867	0.64	PPI	ADIA
ENSG00000142192	ENSG00000171867	0.56	PPI	ADIA
ENSG00000142192	ENSG00000166313	0.73	PPI	ADIA
ENSG00000142192	ENSG00000186868	0.66	PPI	ADIA
ENSG00000072506	ENSG00000142192	0.63	PPI	ADIA
ENSG00000119917	ENSG00000142192	0.48	PPI	ADIA
ENSG00000080815	ENSG00000142192	0.63	PPI	ADIA
ENSG00000142192	ENSG00000167004	0.5	PPI	ADIA
ENSG00000138449	ENSG00000142192	0.59	PPI	ADIA
ENSG00000064300	ENSG00000142192	0.56	PPI	ADIA
ENSG00000080815	ENSG00000142192	0.56	PPI	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	ADIA
ENSG00000142192	ENSG00000181773	0.52	PPI	ADIA
ENSG00000108578	ENSG00000142192	0.53	PPI	ADIA
ENSG00000107282	ENSG00000142192	0.46	PPI	ADIA
ENSG00000084234	ENSG00000142192	0.54	PPI	ADIA
ENSG00000051128	ENSG00000142192	0.52	PPI	ADIA
ENSG00000142192	ENSG00000198840	0.52	PPI	ADIA
ENSG00000142192	ENSG00000142192	0.75	PPI	ADIA
ENSG00000185624	ENSG00000186868	0.46	PPI	ADIA
ENSG00000115414	ENSG00000137801	0.61	PPI	ADIA
ENSG00000096384	ENSG00000186868	0.62	PPI	ADIA
ENSG00000072518	ENSG00000186868	0.59	PPI	ADIA
ENSG00000164924	ENSG00000186868	0.72	PPI	ADIA
ENSG00000171867	ENSG00000186868	0.5	PPI	ADIA
ENSG00000186868	ENSG00000188906	0.68	PPI	ADIA
ENSG00000109971	ENSG00000159363	0.51	PPI	ADIA
ENSG00000082701	ENSG00000104812	0.73	PPI	ADIA
ENSG00000107282	ENSG00000175582	0.63	PPI	ADIA
ENSG00000142192	ENSG00000196712	0.51	PPI	ADIA
ENSG00000105401	ENSG00000132002	0.55	PPI	ADIA
ENSG00000075142	ENSG00000143801	0.54	PPI	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	ADIA
ENSG00000080815	ENSG00000168036	0.52	PPI	ADIA
ENSG00000142192	ENSG00000175344	0.46	PPI	ADIA
ENSG00000182871	ENSG00000182871	0.64	PPI	ADIA
ENSG00000080815	ENSG00000100380	0.48	PPI	ADIA
ENSG00000080815	ENSG00000173801	0.62	PPI	ADIA
ENSG00000080815	ENSG00000130159	0.58	PPI	ADIA
ENSG00000080815	ENSG00000105607	0.48	PPI	ADIA
ENSG00000080815	ENSG00000105401	0.48	PPI	ADIA
ENSG00000143801	ENSG00000150593	0.48	PPI	ADIA
ENSG00000130159	ENSG00000143801	0.52	PPI	ADIA
ENSG00000143801	ENSG00000197102	0.48	PPI	ADIA
ENSG00000082701	ENSG00000188906	0.65	PPI	ADIA
ENSG00000082701	ENSG00000186868	0.74	PPI	ADIA
ENSG00000100380	ENSG00000164867	0.48	PPI	ADIA
ENSG00000105290	ENSG00000105290	0.54	PPI	ADIA
ENSG00000105290	ENSG00000142192	0.54	PPI	ADIA
ENSG00000084234	ENSG00000105290	0.54	PPI	ADIA
ENSG00000159200	ENSG00000159200	0.6	PPI	ADIA
ENSG00000142192	ENSG00000186318	0.49	PPI	ADIA
ENSG00000113758	ENSG00000171862	0.52	PPI	ADIA
ENSG00000092969	ENSG00000142192	0.72	PPI	ADIA
ENSG00000107282	ENSG00000154917	0.63	PPI	ADIA
ENSG00000084234	ENSG00000084234	0.54	PPI	ADIA
ENSG00000105401	ENSG00000164867	0.58	PPI	ADIA
ENSG00000105401	ENSG00000119917	0.58	PPI	ADIA
ENSG00000113758	ENSG00000121966	0.7	PPI	ADIA
ENSG00000115977	ENSG00000159363	0.51	PPI	ADIA
ENSG00000185933	ENSG00000185933	0.52	PPI	ADIA
ENSG00000061676	ENSG00000136754	0.79	PPI	ADIA
ENSG00000097007	ENSG00000136754	0.9	PPI	ADIA
ENSG00000105607	ENSG00000164867	0.52	PPI	ADIA
ENSG00000105982	ENSG00000133246	0.53	PPI	ADIA
ENSG00000130159	ENSG00000179115	0.53	PPI	ADIA
ENSG00000105982	ENSG00000127452	0.53	PPI	ADIA
ENSG00000105982	ENSG00000138134	0.53	PPI	ADIA
ENSG00000094631	ENSG00000159363	0.51	PPI	ADIA
ENSG00000159363	ENSG00000178950	0.51	PPI	ADIA
ENSG00000132718	ENSG00000159363	0.51	PPI	ADIA
ENSG00000148737	ENSG00000173801	0.6	PPI	ADIA
ENSG00000121653	ENSG00000142192	0.63	PPI	ADIA
