ensg1	ensg2	score	interaction_type	data_source
ENSG00000056558	ENSG00000105619	0.49	PPI	IAH
ENSG00000105619	ENSG00000143549	0.49	PPI	IAH
ENSG00000100109	ENSG00000105619	0.49	PPI	IAH
ENSG00000105619	ENSG00000166946	0.56	PPI	IAH
ENSG00000102805	ENSG00000133065	0.49	PPI	IAH
ENSG00000079459	ENSG00000102805	0.49	PPI	IAH
ENSG00000102805	ENSG00000167244	0.49	PPI	IAH
ENSG00000102805	ENSG00000175514	0.49	PPI	IAH
ENSG00000102805	ENSG00000205808	0.49	PPI	IAH
ENSG00000102805	ENSG00000136052	0.49	PPI	IAH
ENSG00000187821	ENSG00000213401	0.49	PPI	IAH
ENSG00000167987	ENSG00000187821	0.49	PPI	IAH
ENSG00000104964	ENSG00000187821	0.49	PPI	IAH
ENSG00000151929	ENSG00000187821	0.49	PPI	IAH
ENSG00000143013	ENSG00000187821	0.49	PPI	IAH
ENSG00000056558	ENSG00000187821	0.49	PPI	IAH
ENSG00000187821	ENSG00000213654	0.49	PPI	IAH
ENSG00000083535	ENSG00000114107	0.56	PPI	IAH
ENSG00000083535	ENSG00000174799	0.56	PPI	IAH
ENSG00000083535	ENSG00000083535	0.6	PPI	IAH
ENSG00000083535	ENSG00000152240	0.49	PPI	IAH
ENSG00000143013	ENSG00000172379	0.49	PPI	IAH
ENSG00000091073	ENSG00000172379	0.49	PPI	IAH
ENSG00000140961	ENSG00000172379	0.49	PPI	IAH
ENSG00000008018	ENSG00000172379	0.49	PPI	IAH
ENSG00000162585	ENSG00000172379	0.49	PPI	IAH
ENSG00000112246	ENSG00000172379	0.49	PPI	IAH
ENSG00000110203	ENSG00000135018	0.49	PPI	IAH
ENSG00000198443	ENSG00000244057	0.49	PPI	IAH
ENSG00000185966	ENSG00000198443	0.49	PPI	IAH
ENSG00000198443	ENSG00000205864	0.49	PPI	IAH
ENSG00000159921	ENSG00000198443	0.49	PPI	IAH
ENSG00000187272	ENSG00000198443	0.49	PPI	IAH
ENSG00000163202	ENSG00000198443	0.49	PPI	IAH
ENSG00000187223	ENSG00000198443	0.49	PPI	IAH
ENSG00000159069	ENSG00000198443	0.49	PPI	IAH
ENSG00000136634	ENSG00000198443	0.49	PPI	IAH
ENSG00000196734	ENSG00000198443	0.49	PPI	IAH
ENSG00000115507	ENSG00000198443	0.49	PPI	IAH
ENSG00000198443	ENSG00000204873	0.49	PPI	IAH
ENSG00000108256	ENSG00000198443	0.49	PPI	IAH
ENSG00000157379	ENSG00000198443	0.49	PPI	IAH
ENSG00000169509	ENSG00000198443	0.49	PPI	IAH
ENSG00000165259	ENSG00000183336	0.49	PPI	IAH
ENSG00000101197	ENSG00000183336	0.49	PPI	IAH
ENSG00000143382	ENSG00000183336	0.49	PPI	IAH
ENSG00000108010	ENSG00000183336	0.49	PPI	IAH
ENSG00000175325	ENSG00000183336	0.49	PPI	IAH
ENSG00000101966	ENSG00000183336	0.49	PPI	IAH
ENSG00000173421	ENSG00000183336	0.49	PPI	IAH
ENSG00000163320	ENSG00000183336	0.49	PPI	IAH
ENSG00000110330	ENSG00000183336	0.49	PPI	IAH
ENSG00000156795	ENSG00000183336	0.49	PPI	IAH
ENSG00000142698	ENSG00000183336	0.49	PPI	IAH
ENSG00000163006	ENSG00000183336	0.49	PPI	IAH
ENSG00000140632	ENSG00000183336	0.49	PPI	IAH
ENSG00000106511	ENSG00000183336	0.49	PPI	IAH
ENSG00000171425	ENSG00000183336	0.49	PPI	IAH
ENSG00000091844	ENSG00000183336	0.49	PPI	IAH
ENSG00000167578	ENSG00000183336	0.49	PPI	IAH
ENSG00000065029	ENSG00000183336	0.49	PPI	IAH
ENSG00000166069	ENSG00000275778	0.49	PPI	IAH
ENSG00000015133	ENSG00000065135	0.49	PPI	IAH
ENSG00000127191	ENSG00000183495	0.49	PPI	IAH
ENSG00000123636	ENSG00000129245	0.49	PPI	IAH
