IPS_E3	IPS_E3	IPS_E3	IPS_E4	IPS_E4	IPS_E4
DDX11L1	0	0	0	0	0	0
WASH7P	0	0	0	0	1	1
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	1	2	1	3	3	2
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	2	0	0	4	0	1
OR4F29	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
LOC100288069	7	2	5	9	7	5
LINC00115	4	3	2	7	7	2
LOC643837	22	26	14	32	32	38
FAM41C	0	0	0	0	0	0
LOC100130417	0	0	0	0	0	1
SAMD11	3	0	7	4	1	10
NOC2L	1120	1290	899	928	1255	925
KLHL17	132	120	120	130	120	136
PLEKHN1	2	2	5	0	5	2
C1orf170	0	0	0	0	0	0
HES4	20	10	33	30	24	51
ISG15	121	149	136	135	160	154
AGRN	1602	1774	2129	1548	1736	2083
RNF223	0	1	0	0	1	0
C1orf159	50	49	55	58	68	68
LOC254099	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	1
MIR429	0	1	0	0	0	0
TTLL10	2	3	2	2	3	1
TNFRSF18	2	4	3	5	1	6
TNFRSF4	1	0	0	0	0	1
SDF4	402	495	431	473	484	427
B3GALT6	120	146	135	146	145	225
FAM132A	5	12	11	11	13	16
UBE2J2	322	362	319	306	382	349
SCNN1D	25	16	27	28	24	25
ACAP3	106	93	127	102	102	138
PUSL1	163	190	213	164	232	186
CPSF3L	573	685	630	580	682	655
GLTPD1	87	90	109	82	93	108
TAS1R3	2	0	1	1	2	0
DVL1	594	607	614	559	676	645
MXRA8	74	51	121	73	34	112
AURKAIP1	568	657	555	571	708	522
CCNL2	443	397	353	439	407	426
LOC148413	162	172	164	141	156	145
MRPL20	513	511	441	576	546	475
ANKRD65	27	15	27	21	16	20
TMEM88B	1	0	1	2	1	3
VWA1	298	316	339	327	378	412
ATAD3C	9	4	6	21	4	6
ATAD3B	106	149	93	83	139	116
ATAD3A	213	319	220	198	292	233
TMEM240	11	5	18	16	8	21
SSU72	701	654	626	677	711	672
C1orf233	128	138	206	187	195	217
MIB2	166	157	192	147	169	177
MMP23B	3	2	1	1	1	2
MMP23A	0	0	0	0	0	0
CDK11B	79	82	64	53	91	73
SLC35E2B	226	192	209	226	214	165
CDK11A	14	18	21	27	8	15
SLC35E2	201	108	117	179	133	111
NADK	593	578	530	516	673	463
GNB1	2207	2019	1761	2318	2278	2119
CALML6	2	1	0	1	0	2
TMEM52	56	61	53	45	44	47
KIAA1751	0	0	3	1	0	1
GABRD	11	22	16	10	9	9
PRKCZ	448	346	411	395	376	326
C1orf86	165	193	136	187	209	205
SKI	420	355	381	377	372	399
MORN1	20	22	51	34	29	35
LOC100129534	14	6	2	6	5	6
RER1	472	468	400	449	490	421
PEX10	222	197	222	223	231	227
PLCH2	2	1	0	0	1	1
PANK4	268	255	188	245	278	200
HES5	4	3	4	6	1	2
LOC115110	0	0	0	0	0	0
LOC100133445	0	0	0	0	0	0
TNFRSF14	0	1	4	3	1	1
FAM213B	251	320	319	247	358	334
MMEL1	14	9	21	9	13	7
TTC34	1	1	1	0	4	0
ACTRT2	0	1	0	0	0	1
FLJ42875	0	0	0	0	0	1
PRDM16	8	1	8	7	4	2
MIR4251	0	0	0	0	0	0
ARHGEF16	260	189	295	267	251	379
MEGF6	115	120	159	105	110	173
MIR551A	0	0	0	0	0	0
TPRG1L	151	120	194	166	123	164
WRAP73	169	151	116	172	171	153
TP73	47	41	64	69	43	62
TP73-AS1	390	371	367	383	425	356
CCDC27	1	0	0	1	0	0
SMIM1	10	6	16	5	11	9
LRRC47	954	955	818	792	949	679
CEP104	212	120	114	211	139	159
DFFB	56	80	53	57	78	45
C1orf174	194	251	148	219	278	130
LOC100133612	1	1	0	2	0	1
LOC728716	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0
AJAP1	17	30	16	16	19	14
MIR4417	0	0	0	0	0	0
MIR4689	1	0	0	0	0	0
NPHP4	145	120	109	125	130	129
KCNAB2	63	54	64	70	79	83
CHD5	15	15	16	12	15	14
RPL22	1303	908	961	1309	953	975
RNF207	17	10	13	15	16	11
ICMT	1752	1788	1442	1634	1875	1541
HES3	205	147	248	219	143	241
GPR153	175	112	174	169	143	190
ACOT7	426	592	354	394	601	423
HES2	9	13	15	20	22	17
ESPN	218	224	167	261	283	142
MIR4252	0	0	0	0	0	0
TNFRSF25	49	34	36	47	35	46
PLEKHG5	311	232	338	282	270	256
NOL9	535	427	314	515	432	385
TAS1R1	1	0	1	0	0	1
ZBTB48	120	94	133	103	108	119
KLHL21	236	281	266	223	282	250
PHF13	528	429	544	560	493	559
THAP3	112	125	110	152	174	112
DNAJC11	839	687	659	722	689	697
CAMTA1	418	335	320	467	337	292
VAMP3	476	353	340	488	356	415
PER3	77	70	94	106	62	85
UTS2	0	0	0	1	0	2
TNFRSF9	1	0	0	0	0	0
PARK7	1241	1273	933	1363	1432	944
ERRFI1	378	406	245	293	292	265
SLC45A1	6	9	14	11	20	16
RERE	342	260	313	361	256	289
ENO1	38894	34848	28008	39613	40820	25552
