GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269308	1	818043	819983	5	3	386683	0.79528	0.21323	AL645608.2
ENSG00000187634	1	860260	879955	129	31	298654	-0.59805	0.7251	SAMD11
ENSG00000268179	1	861264	866445	46	14	273436	-1.0503	0.8532	AL645608.1
ENSG00000188976	1	879584	894689	80	16	360904	-0.65118	0.74254	NOC2L
ENSG00000187961	1	895967	901095	44	11	260250	0.88571	0.18789	KLHL17
ENSG00000187583	1	901877	911245	56	24	286298	1.227	0.10991	PLEKHN1
ENSG00000187642	1	910579	917497	26	7	388678	0.3622	0.3586	C1orf170
ENSG00000188290	1	934342	935552	7	4	347487	2.084	0.018581	HES4
ENSG00000187608	1	948803	949920	10	4	367029	0.73404	0.23146	ISG15
ENSG00000188157	1	955503	991496	226	36	348647	2.5689	0.0051008	AGRN
ENSG00000237330	1	1006346	1009687	11	4	391263	1.8301	0.033618	RNF223
ENSG00000131591	1	1017198	1051741	167	20	331579	0.71716	0.23664	C1orf159
ENSG00000162571	1	1109264	1133315	191	25	349050	1.5538	0.060119	TTLL10
ENSG00000186891	1	1138888	1142071	15	4	392915	0.0091998	0.49633	TNFRSF18
ENSG00000186827	1	1146706	1149518	15	6	286526	1.1989	0.11528	TNFRSF4
ENSG00000078808	1	1152288	1167411	120	9	363647	1.1752	0.11996	SDF4
ENSG00000176022	1	1167629	1170421	10	3	367230	0.61571	0.26904	B3GALT6
ENSG00000184163	1	1177826	1182102	14	4	407508	-0.57766	0.71825	FAM132A
ENSG00000160087	1	1189289	1209265	73	15	381744	0.87143	0.19176	UBE2J2
ENSG00000162572	1	1215816	1227409	79	32	282499	1.0154	0.15495	SCNN1D
ENSG00000131584	1	1227756	1244989	102	23	310010	0.55205	0.29046	ACAP3
ENSG00000169972	1	1243947	1247057	11	6	369495	0.27509	0.39162	PUSL1
ENSG00000127054	1	1246965	1260071	46	16	327417	0.79786	0.21248	CPSF3L
ENSG00000224051	1	1260136	1264277	21	7	382074	0.70623	0.24002	GLTPD1
ENSG00000169962	1	1266694	1270686	25	12	365179	1.0753	0.14111	TAS1R3
ENSG00000107404	1	1270656	1284730	68	18	315220	0.67726	0.24912	DVL1
ENSG00000162576	1	1288069	1297157	42	10	373763	-0.0022688	0.50091	MXRA8
ENSG00000175756	1	1309110	1310875	12	5	418140	-1.0359	0.84989	AURKAIP1
ENSG00000221978	1	1321091	1334708	46	19	306963	0.9649	0.1673	CCNL2
ENSG00000224870	1	1334902	1337426	11	4	405824	-0.11227	0.54469	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	22	9	360760	-0.69163	0.75541	MRPL20
ENSG00000235098	1	1353800	1357149	10	3	340725	0.081689	0.46745	ANKRD65
ENSG00000205116	1	1361508	1363167	11	5	223027	0.14382	0.44282	TMEM88B
ENSG00000179403	1	1370241	1378262	19	5	136419	-1.235	0.89159	VWA1
ENSG00000215915	1	1385069	1405538	112	16	71075	0.16123	0.43596	ATAD3C
ENSG00000160072	1	1407143	1433228	142	13	167118	0.016439	0.49344	ATAD3B
ENSG00000197785	1	1447531	1470067	129	19	180134	0.27919	0.39005	ATAD3A
ENSG00000205090	1	1470554	1475833	12	5	265531	-0.62212	0.73307	TMEM240
ENSG00000160075	1	1477053	1510249	121	14	330948	-1.119	0.86843	SSU72
ENSG00000215014	1	1510355	1511373	6	2	245108	-1.1681	0.87861	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	401430	-0.68485	0.75328	C1orf233
ENSG00000197530	1	1550795	1565990	39	8	214938	0.80297	0.211	MIB2
ENSG00000248333	1	1570603	1590473	41	7	167189	0.34298	0.36581	CDK11B
ENSG00000189339	1	1592939	1624167	86	16	149927	0.62346	0.26649	SLC35E2B
ENSG00000008128	1	1634169	1655766	87	7	17401	-0.46584	0.67933	CDK11A
ENSG00000215790	1	1656277	1677431	97	13	32823	-0.58313	0.7201	SLC35E2
